Washington,Illinois,California,Arizona,Massachusetts,Wisconsin,Texas,Nebraska,Utah,Oregon,Rhode Island,New York,Florida,Georgia,New Hampshire,North Carolina,New Jersey,Tennessee,Nevada,Maryland,Colorado,Oklahoma,Pennsylvania,South Carolina,Hawaii,Indiana,Kentucky,Minnesota,Vermont,Virginia,DC,Kansas,Missouri,Connecticut,Iowa,Ohio,Louisiana,South Dakota,Michigan,North Dakota,New Mexico,Wyoming,Mississippi,Arkansas,Delaware,Alaska,Maine,Puerto Rico,Montana,Alabama,Idaho,Virgin Islands,Guam,West Virginia,Northern Mariana Islands
176,163,216,23,85,61,129,6,32,27,0,2952,130,200,11,40,161,82,66,42,86,5,82,45,11,25,16,26,7,21,32,14,38,35,1,49,145,0,214,8,8,4,30,38,9,2,5,8,0,28,8,3,2,3,0
251,168,261,34,112,65,170,8,26,23,22,3258,200,70,10,40,440,75,0,45,111,4,119,46,11,47,21,23,20,37,6,8,20,29,23,78,226,0,239,1,14,2,60,18,6,7,13,7,10,25,11,0,1,4,0
189,296,307,49,121,101,85,1,44,24,17,4817,236,68,13,85,578,112,25,50,116,14,116,22,8,76,19,33,3,67,21,9,37,104,22,104,74,7,246,2,8,2,67,47,11,1,19,2,5,26,5,11,12,4,0
257,238,389,81,131,36,96,11,75,30,23,5711,222,180,23,33,930,98,75,45,130,14,140,105,21,60,21,64,23,35,18,16,53,88,15,93,335,7,291,2,18,2,42,36,31,14,18,8,11,39,3,0,2,0,0
368,250,404,92,382,63,129,4,41,18,18,4804,245,295,7,95,831,156,50,59,191,25,207,43,13,107,33,27,20,36,21,17,72,203,19,120,216,2,467,4,17,9,71,30,17,6,11,8,6,46,23,0,3,23,0
116,339,539,76,679,142,262,7,48,57,8,7413,498,290,29,164,727,128,90,74,174,58,300,82,5,113,41,25,28,100,46,33,122,257,21,142,407,11,502,9,12,12,56,76,15,17,24,12,14,144,50,0,0,12,0
623,664,877,106,579,131,423,7,56,50,33,5941,512,256,21,76,2474,175,130,158,346,84,539,32,11,177,50,59,35,213,48,39,130,137,34,161,510,5,584,13,24,7,110,43,24,10,13,13,25,152,66,0,17,25,0
562,491,854,157,823,176,398,8,78,98,38,5688,721,557,29,145,1949,199,86,194,303,74,527,83,14,327,54,52,26,2,36,41,163,279,56,277,441,12,778,10,55,17,93,35,22,16,13,15,31,101,42,2,4,20,0
541,518,651,108,1017,112,218,22,128,65,36,8771,840,249,27,189,2299,183,117,291,326,55,598,121,31,251,92,42,27,134,37,59,167,233,63,262,569,10,979,25,17,11,90,24,49,17,43,21,26,81,30,0,4,17,2
585,1066,701,156,698,78,551,15,111,69,55,6267,904,236,44,193,2262,206,182,178,254,52,626,114,24,283,45,64,24,150,38,61,65,469,38,259,224,22,852,4,29,3,90,40,18,12,42,27,14,110,49,4,1,11,0
283,457,1155,240,797,147,327,49,87,58,114,7679,752,349,56,138,3250,152,124,170,313,52,715,151,29,275,41,72,21,131,59,41,147,578,88,268,485,10,1022,11,44,8,89,59,32,5,22,47,16,117,105,7,2,21,0
113,922,1161,129,868,84,534,8,81,84,80,8749,1047,1084,53,224,2060,328,69,248,362,85,841,158,20,373,110,53,37,229,94,61,301,557,74,266,1213,7,1121,18,34,25,89,56,55,14,28,65,21,52,111,0,79,17,0
296,986,1234,115,1118,199,685,56,125,46,78,8152,1024,631,48,54,3559,640,166,323,356,153,808,210,34,408,84,60,28,262,91,54,230,429,51,348,1187,21,1663,21,48,17,136,60,49,10,41,47,19,107,143,0,8,29,4
997,717,1374,187,1228,180,625,24,65,90,91,8608,1235,697,64,277,3335,179,179,346,382,160,1211,261,25,478,73,53,17,194,67,66,254,267,65,355,2728,37,1499,12,40,16,104,59,25,3,32,30,24,164,221,7,5,26,2
381,1209,1379,169,1436,186,789,23,171,73,54,10680,1260,523,61,236,4305,164,91,427,454,108,1404,146,34,399,15,47,51,306,104,70,279,1091,85,410,1147,22,1878,14,92,13,181,55,57,10,56,62,21,265,122,1,2,25,0
532,1453,1227,250,1334,196,897,43,178,100,95,12312,1277,416,81,309,4229,233,209,367,392,172,1689,217,32,520,147,76,72,395,145,78,178,361,87,427,2201,25,1556,13,48,22,97,5,143,13,24,74,19,97,64,4,69,40,0
486,919,1280,250,764,155,525,37,192,69,116,8122,805,359,48,183,3381,273,122,484,376,92,1480,132,20,462,139,70,51,230,96,65,76,399,82,304,514,28,1408,21,81,12,183,110,80,14,14,23,17,208,24,0,42,42,0
400,986,1208,196,1337,173,1013,61,44,64,160,7976,1279,816,46,285,3585,215,91,436,222,75,1485,183,16,549,9,51,31,241,99,87,355,1231,78,407,1853,48,1496,18,62,12,100,74,110,6,29,38,21,165,70,1,1,21,0
298,1287,1256,110,1365,138,864,53,75,49,147,9642,1118,1598,32,350,3326,257,130,326,257,144,1508,185,23,556,232,83,32,455,114,51,315,875,102,333,1417,32,1722,12,108,9,177,70,145,22,20,60,0,192,40,2,8,67,0
415,1529,1503,151,1588,178,929,48,123,58,221,9568,951,1048,41,203,3021,236,217,1158,226,53,1832,135,25,444,104,85,30,312,229,150,290,1000,97,366,746,73,1369,14,71,9,88,80,188,13,18,47,13,301,22,0,135,71,3
511,1344,1148,292,2151,129,1475,56,120,82,277,10765,1129,681,31,228,3590,210,138,656,547,160,1965,240,7,414,132,88,23,397,83,61,212,1003,125,364,1253,54,1155,18,124,73,257,69,93,9,23,63,22,340,134,1,133,41,0
279,1465,1175,94,2033,183,918,84,123,50,288,10794,1141,974,66,255,3561,337,150,783,308,111,1749,273,23,560,177,93,51,467,137,64,260,754,118,366,970,89,1271,9,101,17,209,56,117,11,26,42,11,170,59,0,35,13,0
337,1293,1055,281,1886,145,918,40,105,76,334,10160,1018,402,44,404,3563,190,114,726,383,74,1646,142,21,534,149,92,32,568,118,102,225,972,122,372,761,90,1207,15,84,23,173,26,153,11,30,63,12,254,13,5,104,56,0
10411,20852,23323,3539,25475,3341,13776,805,2305,1527,2665,191425,19855,12103,985,4520,61850,5144,2860,8225,7303,1970,22955,3319,497,7990,1963,1621,727,5273,1875,1337,4160,12035,1587,6605,20595,729,24494,308,1245,364,2781,1280,1625,270,633,897,387,3583,1457,51,716,615,11
127,1173,1011,163,1392,87,711,65,63,57,311,6548,1156,1022,35,268,2734,339,176,711,388,99,1340,120,5,310,85,29,21,473,80,45,228,1346,123,370,421,138,993,23,100,9,161,195,136,5,65,6,7,222,42,0,3,23,0
156,1222,1424,104,1296,127,816,60,52,49,275,7402,609,788,71,204,4240,171,101,536,250,115,1296,114,9,298,162,45,4,424,103,56,298,608,189,305,502,120,1357,10,62,0,145,23,165,8,36,20,5,148,39,0,2,59,2
89,1346,1349,156,1755,166,803,64,129,30,278,11755,906,670,48,131,2206,210,75,624,339,79,1213,103,13,432,85,114,7,329,139,63,209,766,96,511,433,180,1049,24,77,19,273,101,88,8,36,51,5,288,49,0,29,28,0
369,1141,1035,272,2263,154,822,100,138,73,309,8631,806,1061,72,340,4287,213,109,755,395,94,1510,275,11,589,134,103,9,389,153,92,216,1129,146,623,581,143,1226,28,113,1,264,21,61,7,26,69,11,163,22,0,40,14,0
293,1841,1256,273,2221,170,1203,122,126,49,339,7532,1413,1014,76,396,3150,346,203,790,372,108,1807,155,12,615,93,159,11,602,126,137,172,925,191,693,586,100,833,46,114,8,169,75,248,9,31,25,7,168,46,0,6,37,1
357,1585,1431,212,1970,154,796,132,129,59,314,7249,739,356,55,281,2953,201,102,738,386,105,1621,160,21,495,185,142,24,562,190,88,234,741,181,1115,462,131,765,89,87,11,181,82,215,5,20,50,4,151,13,2,9,49,0
3,1197,715,210,1705,147,514,125,129,66,215,6199,822,605,50,353,3881,200,115,513,297,29,1250,131,6,571,253,143,9,484,127,78,150,412,402,1380,348,94,631,57,47,10,300,4,0,5,20,95,7,180,4,0,3,65,0
386,1151,2318,135,1566,153,594,173,142,46,384,4867,744,828,55,271,3505,170,89,858,376,81,1013,62,4,483,90,114,4,453,134,133,140,1853,260,1317,595,50,579,42,126,4,238,190,207,2,8,39,0,175,64,1,3,18,0
12345,33059,35844,5251,41199,4620,20949,1726,3301,2002,5500,255932,27861,19189,1491,6951,92387,7317,3937,14261,10447,2807,35384,4608,580,12198,3193,2567,818,9629,3098,2113,5941,20360,3641,13725,24854,1755,32935,644,2072,441,4716,2262,2931,327,888,915,437,5327,1766,54,852,929,14
194,2049,1729,208,1745,225,820,100,150,57,341,5659,440,910,97,269,3478,364,144,581,431,87,1379,153,6,353,180,154,5,636,108,177,196,2109,123,392,463,103,994,35,138,6,178,130,269,6,19,0,2,283,36,0,59,10,0
367,1827,1961,310,3079,207,937,364,170,68,415,6341,1339,806,82,388,4124,488,127,963,384,123,1571,156,4,633,175,221,2,734,155,335,184,631,175,577,481,98,1323,30,169,6,259,207,108,2,30,315,3,222,34,0,68,42,0
214,2723,1834,276,4946,304,944,284,161,50,443,8286,885,670,50,444,2207,449,190,888,993,103,1964,153,5,653,231,243,2,596,167,216,304,821,520,475,401,84,1375,39,145,20,281,211,134,2,28,46,2,194,34,0,18,29,0
364,2119,1222,235,2379,331,844,424,168,76,430,10683,306,650,73,490,3327,300,141,1151,712,73,1328,183,2,719,126,261,16,770,171,249,201,661,650,418,372,107,557,55,138,0,284,99,134,0,25,31,1,187,17,1,0,15,0
179,2126,1101,246,1590,224,715,228,173,58,310,6013,689,234,71,288,3515,517,99,820,473,60,1083,237,2,619,169,156,8,604,142,107,171,687,381,376,261,66,567,64,66,29,193,92,458,2,25,64,3,208,10,2,0,28,0
201,1980,1517,190,1524,170,754,361,113,43,269,4077,610,770,74,205,2150,304,70,910,364,27,1019,123,1,962,72,214,4,565,51,209,174,728,378,362,279,33,439,75,97,18,183,68,128,4,8,17,1,118,20,2,116,24,0
195,2219,1362,232,1840,208,905,126,107,31,218,3285,708,378,72,533,2668,235,104,626,435,130,1595,122,2,646,229,365,7,804,102,195,135,315,508,444,218,68,1044,49,150,16,248,58,413,6,17,12,2,211,35,0,1,18,0
319,2253,2334,254,1963,231,971,263,156,61,321,4718,347,693,44,379,2408,281,122,742,441,63,868,146,3,626,163,463,0,623,112,210,120,455,467,534,374,61,1126,42,238,8,227,80,80,4,16,65,0,175,32,7,0,14,0
318,2563,1566,446,1940,334,1233,456,173,64,374,4702,498,1131,92,560,2388,251,119,883,527,145,2033,214,4,690,170,492,4,885,217,494,137,933,302,724,341,75,987,34,198,15,246,74,79,0,39,72,1,143,32,0,1,16,0
314,3137,1848,314,2106,460,1270,506,157,69,341,3879,1037,1005,164,415,2538,1275,196,1741,454,130,1540,163,1,842,171,594,13,1055,335,205,277,1064,738,716,710,75,1001,40,102,7,397,29,184,9,28,36,0,226,19,0,0,26,0
243,2450,1435,402,1952,346,1091,494,152,56,327,4559,735,832,119,592,2527,595,141,1002,457,103,1307,231,1,688,2,498,7,830,139,353,314,523,758,592,429,62,843,46,219,13,229,62,120,1,29,182,2,317,26,0,2,33,0
15809,61499,55072,8640,68087,7964,32299,5686,5175,2680,9477,321833,36070,27618,2518,11668,126744,12871,5473,25561,16527,3972,52079,6626,611,20267,5223,6663,897,18671,5016,5177,8454,29287,9169,19914,29383,2630,43736,1191,3850,586,7550,3431,5208,366,1185,1806,454,7888,2059,66,1118,1195,14
96,2341,1261,279,1000,272,835,437,151,79,175,2524,819,732,70,203,1525,412,154,948,272,72,913,131,1,588,147,571,5,821,154,208,322,686,534,560,363,37,192,34,180,10,327,38,80,2,20,69,2,224,47,0,0,29,0
176,2049,2515,386,1184,330,1152,319,123,80,281,2302,542,526,48,412,2324,272,38,708,457,83,975,84,3,568,452,617,5,764,152,242,143,648,408,495,323,53,405,41,107,8,330,56,83,1,21,49,0,325,21,0,0,18,0
